Date,Close,High,Low,Open,Volume,MA5,MA20,Daily_Return,Volatility,RSI14,Target
2015-07-14,8454.099609375,8480.25,8424.099609375,8470.599609375,101700,8393.1798828125,8371.714965820312,-0.0006561478304294432,0.008229910942073043,56.98972271835564,1
2015-07-15,8523.7998046875,8531.400390625,8462.9501953125,8463.400390625,105500,8425.3298828125,8393.327465820312,0.008244543893853207,0.008021023751819036,58.99083042640122,1
2015-07-16,8608.0498046875,8616.099609375,8542.900390625,8546.150390625,116000,8481.2298828125,8414.999951171874,0.009884089482447456,0.008467630003774228,64.79562797555761,1
2015-07-17,8609.849609375,8642.9501953125,8593.150390625,8623.650390625,105000,8531.08984375,8434.244921875,0.00020908390731189108,0.008422866839582951,70.63939496207448,0
2015-07-20,8603.4501953125,8624.099609375,8559.0,8623.900390625,90600,8559.8498046875,8446.762451171875,-0.0007432666484129546,0.008383149168702269,67.73609024440948,0
2015-07-21,8529.4501953125,8646.75,8517.900390625,8601.5,164100,8574.919921875,8454.157470703125,-0.00860120048586066,0.008904984931190692,55.86071640467215,1
2015-07-22,8633.5,8643.900390625,8498.650390625,8512.25,136800,8596.8599609375,8467.789990234374,0.012198887654526924,0.0071390113926672145,62.61196427591864,0
2015-07-23,8589.7998046875,8654.75,8573.7998046875,8643.9501953125,132900,8593.2099609375,8477.37998046875,-0.005061700968610694,0.007251186929376716,56.980251743162185,0
2015-07-24,8521.5498046875,8589.150390625,8513.5,8588.150390625,127400,8575.55,8484.402490234375,-0.00794547038951432,0.008035853380029073,49.96161906390457,0
2015-07-27,8361.0,8492.2001953125,8351.5498046875,8492.099609375,136600,8527.0599609375,8486.532470703125,-0.01884044667546103,0.009547579009517514,41.960084238421146,0
2015-07-28,8337.0,8397.400390625,8321.75,8371.099609375,174600,8488.569921875,8484.957470703124,-0.002870470039468942,0.009561006528996278,48.387708993410605,1
2015-07-29,8375.0498046875,8381.5,8338.4501953125,8365.599609375,141000,8436.8798828125,8481.057470703125,0.004563968416396724,0.009215093877602476,52.86541641692965,1
2015-07-30,8421.7998046875,8458.900390625,8408.2998046875,8417.0,215200,8403.2798828125,8479.90244140625,0.005582056356707721,0.008699108301557143,53.706952190246085,1
2015-07-31,8532.849609375,8548.9501953125,8448.0,8456.099609375,203300,8405.53984375,8482.29990234375,0.013185994355469077,0.009965942037400135,54.36697606890589,1
2015-08-03,8543.0498046875,8563.9501953125,8508.099609375,8510.650390625,156700,8441.9498046875,8483.344873046875,0.0011954031512864116,0.009987151275446918,55.27738346997306,0
2015-08-04,8516.900390625,8565.150390625,8448.25,8564.099609375,187400,8477.9298828125,8483.64990234375,-0.00306089917070973,0.009645454272383744,49.56835402667957,1
2015-08-05,8567.9501953125,8591.849609375,8545.849609375,8547.4501953125,132800,8516.5099609375,8493.894921875,0.005993941733038577,0.008939743185677163,47.382525351168184,1
2015-08-06,8588.650390625,8606.2998046875,8551.5,8585.7998046875,134900,8549.880078125,8506.899951171876,0.002416003226048735,0.008849041347064119,48.6495565708143,0
2015-08-07,8564.599609375,8595.9501953125,8552.7001953125,8580.7998046875,143700,8556.230078125,8517.10244140625,-0.002800298085977815,0.008476026413223347,47.579552962907535,0
2015-08-10,8525.599609375,8621.5498046875,8497.7998046875,8577.0,123400,8552.7400390625,8520.39990234375,-0.004553627931107251,0.005543950767879327,49.74916377321809,0
2015-08-11,8462.349609375,8556.25,8441.2998046875,8548.4501953125,154400,8541.8298828125,8520.81240234375,-0.007418833032042493,0.006139364671995422,38.2249473254214,0
2015-08-12,8349.4501953125,8446.9501953125,8337.9501953125,8445.7001953125,190000,8498.1298828125,8512.094921875,-0.013341379081930671,0.007589583944680664,34.90169952346598,1
2015-08-13,8355.849609375,8429.5,8339.75,8384.4501953125,189200,8451.5697265625,8499.484912109376,0.0007664473603414823,0.0073244402165573074,38.71403733053795,1
2015-08-14,8518.5498046875,8530.099609375,8381.2001953125,8402.349609375,155900,8442.359765625,8494.919921875,0.01947141259339502,0.008779503596519305,60.69949158994534,0
2015-08-17,8477.2998046875,8530.599609375,8428.0498046875,8530.5,174700,8432.6998046875,8488.61240234375,-0.004842373519645449,0.008884962396020924,59.309886298687246,0
2015-08-18,8466.5498046875,8525.75,8433.599609375,8505.849609375,153300,8433.53984375,8485.4673828125,-0.0012680924643075908,0.008850881977167744,56.29992415562621,1
2015-08-19,8495.150390625,8520.4501953125,8425.9501953125,8468.0498046875,130500,8462.6798828125,8478.54990234375,0.0033780685872379923,0.008672594746664158,55.1797617520616,0
2015-08-20,8372.75,8501.349609375,8359.75,8471.0498046875,184100,8466.0599609375,8467.697412109375,-0.014408266481082843,0.00956157481916055,38.87270486217635,0
2015-08-21,8299.9501953125,8322.2001953125,8225.0498046875,8305.400390625,201300,8422.3400390625,8456.617431640625,-0.008694849922367243,0.00976163042234604,34.45654671515345,0
2015-08-24,7809.0,8060.0498046875,7769.39990234375,8055.9501953125,312400,8288.680078125,8429.017431640625,-0.05915098088055637,0.020276104230713077,21.61132711533581,1
2015-08-25,7880.7001953125,7925.39990234375,7667.25,7895.39990234375,299100,8171.51015625,8406.20244140625,0.009181738418811536,0.021044107406666977,22.888501930085454,0
2015-08-26,7791.85009765625,7930.0498046875,7777.10009765625,7865.25,216600,8030.85009765625,8377.042456054687,-0.011274391291918318,0.020983773839711783,20.17072281725916,1
2015-08-27,7948.9501953125,7963.60009765625,7862.2998046875,7921.60009765625,305000,7946.09013671875,8353.399975585937,0.02016210472317792,0.022584308456833367,29.040300605493186,1
2015-08-28,8001.9501953125,8091.7998046875,7961.64990234375,8053.7001953125,195600,7886.49013671875,8326.855004882813,0.006667547122292117,0.02139025682162639,32.34076565272548,0
2015-08-31,7971.2998046875,8043.60009765625,7947.9501953125,8009.25,198200,7918.95009765625,8298.267504882813,-0.003830365083121179,0.02139886570437663,33.067841104702694,0
2015-09-01,7785.85009765625,7929.10009765625,7746.5,7907.9501953125,184900,7899.980078125,8261.714990234375,-0.023264675971940818,0.02198951956115712,31.492194272047442,0
2015-09-02,7717.0,7862.5498046875,7699.25,7856.64990234375,215300,7885.01005859375,8219.16748046875,-0.0088429775544967,0.0216157071930181,29.847673546740708,1
2015-09-03,7823.0,7845.60009765625,7754.0498046875,7774.4501953125,155800,7859.82001953125,8180.8849609375,0.013735907736166952,0.022688862073279983,27.24509786381364,0
2015-09-04,7655.0498046875,7804.89990234375,7626.85009765625,7803.39990234375,193600,7790.43994140625,8135.407470703125,-0.021468770971813878,0.023178522626776284,25.159387127361597,0
2015-09-07,7558.7998046875,7705.0498046875,7545.89990234375,7685.85009765625,141400,7707.93994140625,8087.06748046875,-0.01257339958011272,0.014925372685801816,23.923498800723777,1
2015-09-08,7688.25,7720.89990234375,7539.5,7587.7001953125,172200,7688.419921875,8048.3625,0.017125760525132927,0.015838196665039227,28.09004584759718,1
2015-09-09,7818.60009765625,7846.0498046875,7764.5498046875,7805.85009765625,208400,7708.73994140625,8021.819995117187,0.01695445617094271,0.016570803980212656,35.017720267693136,0
2015-09-10,7788.10009765625,7819.85009765625,7678.5,7729.0498046875,160300,7701.7599609375,7993.43251953125,-0.0039009540862875447,0.015072349431162303,35.83742181844613,1
2015-09-11,7789.2998046875,7864.85009765625,7759.89990234375,7833.7998046875,136400,7728.6099609375,7956.97001953125,0.00015404360706794407,0.014797287019976416,49.25225143745052,1
2015-09-14,7872.25,7879.9501953125,7761.85009765625,7811.10009765625,122800,7791.3,7926.717529296875,0.010649249276883932,0.015360274897698763,49.68197695444695,0
2015-09-15,7829.10009765625,7880.0,7799.75,7867.35009765625,136500,7819.47001953125,7894.845043945313,-0.005481266771729776,0.013421683496813832,51.451844837128014,1
2015-09-16,7899.14990234375,7913.89990234375,7853.2998046875,7886.85009765625,140000,7835.57998046875,7865.04501953125,0.008947363530129149,0.013203032935088463,47.9177002522255,1
2015-09-18,7981.89990234375,8055.0,7955.85009765625,7967.4501953125,241800,7874.33994140625,7845.502514648438,0.010475810818002973,0.012929839054646348,49.181988161408675,0
2015-09-21,7977.10009765625,7987.89990234375,7908.35009765625,7911.5,121800,7911.9,7829.360009765625,-0.0006013361162410247,0.010074076524531695,50.24173936755821,0
2015-09-22,7812.0,8021.60009765625,7787.75,8014.7998046875,168400,7899.85,7829.510009765625,-0.02069675641963653,0.011760948581071514,51.10865731879441,1
2015-09-23,7845.9501953125,7882.89990234375,7723.25,7737.35009765625,146700,7903.22001953125,7827.772509765625,0.004345903137800811,0.010750141977102038,55.63371808754374,1
2015-09-24,7868.5,7894.5,7804.10009765625,7838.39990234375,202500,7897.0900390625,7831.605004882813,0.002874069312977845,0.009426772321760231,52.14420358152687,0
2015-09-28,7795.7001953125,7893.9501953125,7787.9501953125,7892.7998046875,136300,7859.85009765625,7823.9425048828125,-0.009252056260723118,0.009857525309778766,57.28117448409047,1
2015-09-29,7843.2998046875,7926.5498046875,7691.2001953125,7725.7001953125,240700,7833.0900390625,7816.009985351562,0.006105879931557867,0.01003642506879456,65.50917151825146,1
2015-09-30,7948.89990234375,7957.7001953125,7874.5,7924.25,210700,7860.47001953125,7814.889990234375,0.013463733413981993,0.01037890567058625,64.58835611908532,1
2015-10-01,7950.89990234375,8008.25,7930.64990234375,7992.0498046875,156900,7881.4599609375,7823.14248046875,0.00025160714370175974,0.010135492696023572,58.64705709642705,1
2015-10-05,8119.2998046875,8128.89990234375,8005.10009765625,8005.10009765625,183100,7931.619921875,7843.257470703125,0.02117998017986733,0.011734052810195923,68.34090713668051,1
